id,Jugadores,F_Nacim_Edad,Club,Altura,Pie,Partidos_con_la_seleccion,Goles,Numero_de_camisa,anio,posicion,activo,imagen
86,Eduard Atuesta,18/06/1997 (24),Orlando City SC,1.80m,Derecho,2,0,34,2022,Mediocampista,True,
87,Juan Cuadrado,26/05/1988 (33),Atalanta de Bérgamo,1.76m,Derecho,116,10,11,2022,Mediocampista,True,
88,Yairo Moreno,04/04/1995 (26),Sin equipo,1.84m,Izquierdo,16,0,13,2022,Mediocampista,True,
89,James Rodríguez,12/07/1991 (30),Club León FC,1.80m,Izquierdo,114,29,10,2022,Mediocampista,True,
90,Jorge Carrascal,25/05/1998 (23),Dinamo Moscú,1.80m,Derecho,19,2,13,2022,Mediocampista,True,
91,Juan Fernando Quintero,18/01/1993 (28),CD América de Cali,1.68m,Izquierdo,41,5,10,2022,Mediocampista,True,
92,Kevin Agudelo,14/11/1998 (23),Al-Wahda FC,1.78m,Izquierdo,0,0,35,2022,Mediocampista,True,
93,Luis Díaz,13/01/1997 (24),Liverpool FC,1.80m,Derecho,63,18,14,2022,Delantero,True,
94,Luis Sinisterra,17/06/1999 (22),AFC Bournemouth,1.72m,Derecho,18,5,17,2022,Delantero,True,
95,Jáminton Campaz,24/05/2000 (21),CA Rosario Central,1.65m,Izquierdo,3,0,7,2022,Delantero,True,
96,Fredy Hinestroza,05/04/1990 (31),Atlético Bucaramanga,1.78m,Izquierdo,2,0,8,2022,Mediocampista,True,
97,Diego Valoyes,22/09/1996 (25),FC Juárez,1.81m,Derecho,8,0,13,2022,Delantero,True,
98,Yimmi Chará,02/04/1991 (30),Junior de Barranquilla,1.68m,Derecho,16,1,17,2022,Delantero,True,
99,Santiago Moreno,21/04/2000 (21),Portland Timbers,1.78m,Derecho,2,0,36,2022,Delantero,True,
100,Jhon Arias,21/09/1997 (24),Fluminense Football Club,1.68m,Derecho,29,3,11,2022,Mediocampista,True,
101,Kevin Velasco,30/04/1997 (24),Club Athletico Paranaense,1.68m,Izquierdo,1,0,6,2022,Mediocampista,True,
102,Yáser Asprilla,19/11/2003 (18),Girona FC,1.76m,Izquierdo,8,2,13,2022,Delantero,True,
103,Luis Muriel,16/04/1991 (30),Orlando City SC,1.80m,Derecho,45,8,9,2022,Delantero,True,
104,Rafael Borré,15/09/1995 (26),Sport Club Internacional,1.74m,Derecho,40,6,18,2022,Delantero,True,
105,Luis Suárez,02/12/1997 (24),UD Almería,1.81m,Derecho,4,0,20,2022,Delantero,True,
106,Cucho Hernández,20/04/1999 (22),Real Betis Balompié,1.76m,Derecho,5,2,14,2022,Delantero,True,
107,Miguel Borja,26/01/1993 (28),CA River Plate,1.84m,Derecho,30,9,19,2022,Delantero,True,
108,Óscar Estupiñán,29/12/1996 (25),FC Juárez,1.82m,Izquierdo,1,0,37,2022,Delantero,True,
109,Radamel Falcao,10/02/1986 (35),Millonarios FC,1.77m,Derecho,105,36,9,2022,Delantero,True,
110,Hárold Preciado,01/06/1994 (27),Sperre,1.85m,Derecho,3,0,25,2022,Delantero,True,
111,Jhon Durán,13/12/2003 (18),Al-Nassr FC,1.85m,Izquierdo,16,3,38,2022,Delantero,True,
112,David Ospina,31/08/1988 (34),Atlético Nacional,1.83m,Derecho,129,0,1,2023,Arquero,True,
113,Kevin Mier,18/05/2000 (22),CD Cruz Azul,1.87m,Derecho,0,0,22,2023,Arquero,True,
114,Álvaro Montero,29/03/1995 (27),Millonarios FC,1.99m,Derecho,8,0,12,2023,Arquero,True,
115,Camilo Vargas,09/03/1989 (33),Atlas Guadalajara,1.85m,Izquierdo,37,0,1,2023,Arquero,True,
116,José Luis Chunga,11/07/1991 (31),Independiente Medellín,1.80m,Derecho,3,0,25,2023,Arquero,True,
117,Devis Vásquez,12/05/1998 (24),Empoli FC,1.95m,Derecho,0,0,26,2023,Arquero,True,
118,Alejandro Rodríguez,12/01/2001 (21),Deportivo Cali,1.88m,Derecho,0,0,27,2023,Arquero,True,
119,Davinson Sánchez,12/06/1996 (26),Galatasaray,1.87m,Derecho,69,3,23,2023,Defensa,True,
120,Yerry Mina,23/09/1994 (28),Cagliari,1.95m,Derecho,49,7,4,2023,Defensa,True,
121,Jhon Lucumí,26/06/1998 (24),Bolonia,1.87m,Izquierdo,28,0,3,2023,Defensa,True,
122,Carlos Cuesta,09/03/1999 (23),Galatasaray,1.79m,Derecho,23,0,2,2023,Mediocampista,True,
123,Willer Ditta,23/01/1998 (24),CD Cruz Azul,1.79m,Derecho,2,0,13,2023,Defensa,True,
124,Yerson Mosquera,02/05/2001 (21),Wolverhampton Wanderers,1.88m,Derecho,4,1,2,2023,Defensa,True,
125,Andrés Llinás,23/07/1997 (25),Millonarios FC,1.88m,Derecho,4,0,3,2023,Defensa,True,
126,Alexis Pérez,25/03/1994 (28),Al-Wasl FC,1.81m,Izquierdo,1,0,5,2023,Defensa,True,
127,Andrés Reyes,08/09/1999 (23),San Diego FC,1.91m,Derecho,2,1,4,2023,Defensa,True,
128,Nicolás Hernández,18/01/1998 (24),CA Banfield,1.85m,Izquierdo,0,0,28,2023,Defensa,True,
129,Brayan Vera,15/01/1999 (23),Real Salt Lake City,1.80m,Izquierdo,2,0,29,2023,Defensa,True,
130,Johan Mojica,21/08/1992 (30),RCD Mallorca,1.85m,Izquierdo,38,1,17,2023,Defensa,True,
131,Deiver Machado,02/09/1993 (29),RC Lens,1.80m,Izquierdo,11,0,13,2023,Defensa,True,
132,Cristián Borja,18/02/1993 (29),CF América,1.79m,Izquierdo,8,0,18,2023,Defensa,True,
133,Frank Fabra,22/02/1991 (31),CA Boca Juniors,1.74m,Izquierdo,28,1,18,2023,Defensa,True,
134,Junior Hernández,05/04/1999 (23),Deportes Tolima,1.72m,Izquierdo,0,0,30,2023,Defensa,True,
135,Andrés Salazar,15/01/2003 (19),Atlético Nacional,1.82m,Izquierdo,1,0,14,2023,Defensa,True,
136,Samuel Velásquez,29/05/2003 (19),Deportes Tolima,1.74m,Izquierdo,2,0,31,2023,Defensa,True,
